entity	gender
Paolo Casati	Male
Roderick Long	Male
Manuel Aznar Zubigaray	Male
Nicolaas Pierson	Male
Baal HaTanya	Male
Jonathan Pearce	Male
Rahul Roy	Male
Ian Bartlett	Male
Mori Arinori	Male
Eisenhower	Male
Pallavi Kulkarni	Female
Carl Linnaeus	Male
Santiago Segura	Male
Bart Starr	Male
Germaine Greer	Female
NFB	unsure
John Mayall	Male
David Matthews	Male
George Sluizer	Male
Meirion Jones	Male
David Cameron	Male
Carlo Emery	Male
Rajeev Verma	Male
Henry Brassey	Male
Tom Terriss	Male
Anne Simpson	Female
Jiang Qinqin	Female
Dmitry Puchkov	Male
Marti Emerald	Female
Daws Butler	Male
Julius Caeser	Male
Joseph Reinach	Male
Symeon of Polotsk	Male
Alisa Reyes	Female
Christian Scott	Male
Sabina Spielrein	Female
Henri-Joseph Paixhans	Male
Philip Mould	Male
Lonnie Brooks	Male
Emad Hamdy	Male
Giacinto Andrea Cicognini	Male
Denis Johnston	Male
Rolf Thommessen	Male
John Carpenter	Male
Jim Bunning	Male
Michel Braudeau	Male
Saint David	Male
Christian Bolaños	Male
Robert C. Frasure	Male
Q Center	unsure
Pierre Charles Le Monnier	Male
Jean-Baptiste Solignac	Male
Gustave Kahn	Male
Darol Anger	Male
Yuen Wo Ping	Male
Rowland Hill	Male
Jean Marais	Male
Gaspar Henaine	Male
Obaidullah Aleem	Male
Edward Gregson	Male
Whitney Houston	Female
Martha Byrne	Female
Paul Anka	Male
Tim Pocock	Male
Britney Spears	Female
Michel Camdessus	Male
Nikolai Bogolyubov	Male
Masaichi Kaneda	Male
Guy Pratt	Male
John Wallis	Male
Katrina Bowden	Female
Henry Swanzy	Male
Jaroslav Durych	Male
Pierre Bec	Male
Eleanor Oldroyd	Female
Saleem Rasheed	Male
Erle Cox	Male
Jean Desailly	Male
Clark Kimberling	Male
Berry Berenson	Female
Hermann Hagedorn	Male
Ben Stephenson	Male
Roy Hargrove	Male
Naoto Sato	Male
Andrew Oliver	Male
National Film Board of Canada	unsure
